electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
23.425650180085082,8.71694745063037,0.0,0.0,3.679342710916961,15.283344347273836,1.6947736706745968,46.068023240844845,0.0,0.0,1.1318897919366513,100.0,8th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
30.779952642904956,14.955917597694999,0.0,0.0,3.8367883540890477,9.633402345783562,2.214340035457845,37.45528784909064,0.0,0.0,1.124071270748717,100.0,9th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
29.87191053388476,15.116968727948338,0.0,0.0,4.002371530910294,9.868471590756837,3.2655444695541878,36.74644716979447,0.0,0.0,1.1283753003492538,100.0,10th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
26.736630692350126,10.699117643556574,0.0,0.0,5.9274665692885975,1.1044340098198373,17.44321045967476,37.08913665609532,0.0,0.0,1.0000039692147702,100.0,10th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
26.736630692350126,10.699117643556574,0.0,0.0,5.9274665692885975,1.1044340098198373,17.44321045967476,37.08913665609532,0.0,0.0,1.0000039692147702,100.0,11th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
27.011887995034733,11.33298321835239,0.0,0.0,4.040247308491084,5.541922290388548,3.78514080192245,47.2874046135606,0.0,0.0,1.0002148432837605,100.0,11th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
19.260152868929044,9.049333626908778,0.0,0.0,8.187276464808876,1.1326584798589354,22.694800569141645,38.675543006644304,0.0,0.0,1.0000314545121496,100.0,12th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
39.92443759335857,0.7777462344822463,0.0,2.310004855309135,5.090645703051416,0.0,8.08276312193724,13.868673174019056,28.761206345331868,0.0,1.18457603599827,100.0,1th,PT.02,4,PA.01,OWN.01,5,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
33.649040360982305,0.585469214613961,0.0,1.980008733442848,4.666444864943545,0.2545881765818968,5.891081491339335,21.738786883200596,30.234680085670917,0.0,1.0000124763469256,100.0,2th,PT.02,4,PA.01,OWN.01,5,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
36.61150900027212,1.7452943253993527,0.0,1.3200321913882245,4.242234406572601,0.32223232223811205,3.265289461952211,19.525929700029526,31.96743806342166,0.0,1.0000752676343383,100.0,3th,PT.02,4,PA.01,OWN.01,5,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
